AccountNumber,AccountSource,AnnualRevenue,BillingCity,BillingCountry,BillingGeocodeAccuracy,BillingLatitude,BillingLongitude,BillingPostalCode,BillingState,BillingStreet,CleanStatus,CreatedDate,Description,DunsNumber,ExternalId__c,Fax,Id,Industry,IsDeleted,Jigsaw,JigsawCompanyId,LastActivityDate,LastModifiedDate,LastReferencedDate,LastViewedDate,NaicsCode,NaicsDesc,Name,NumberOfEmployees,OperatingHours.Name,OperatingHoursId,Ownership,Parent.Name,ParentId,Phone,PhotoUrl,Rating,ShippingCity,ShippingCountry,ShippingGeocodeAccuracy,ShippingLatitude,ShippingLongitude,ShippingPostalCode,ShippingState,ShippingStreet,Sic,SicDesc,Site,SystemModstamp,TickerSymbol,Tradestyle,Type,Website,YearStarted
,,,,,,,,,,,Pending,2024-11-15T09:10:51.000+0000,,,,,001QJ00000PUAwRYAX,,false,,,,2024-11-15T09:10:51.000+0000,,,,,Sample Account for Entitlements,,,,,,,,/services/images/photo/001QJ00000PUAwRYAX,,,,,,,,,,,,,2024-11-15T09:10:51.000+0000,,,,,
,,,,,,,,,,,Pending,2024-11-19T16:02:31.000+0000,,,Account1,,001QJ00000Pl0sfYAB,Electronics,false,,,,2024-11-19T16:02:31.000+0000,,,,,Edge Communications,,,,,,,,/services/images/photo/001QJ00000Pl0sfYAB,Hot,,,,,,,,,,,,2024-11-19T16:02:31.000+0000,,,,,
,,,,,,,,,,,Pending,2024-11-19T16:02:31.000+0000,,,Account2,,001QJ00000Pl0sgYAB,Apparel,false,,,,2024-11-19T16:02:31.000+0000,,,,,Burlington Textiles Corp of America,,,,,,,,/services/images/photo/001QJ00000Pl0sgYAB,Warm,,,,,,,,,,,,2024-11-19T16:02:31.000+0000,,,,,
,,,,,,,,,,,Pending,2024-11-19T16:02:31.000+0000,,,Account3,,001QJ00000Pl0shYAB,Construction,false,,,,2024-11-19T16:02:31.000+0000,,,,,Pyramid Construction Inc.,,,,,,,,/services/images/photo/001QJ00000Pl0shYAB,,,,,,,,,,,,,2024-11-19T16:02:31.000+0000,,,,,
,,,,,,,,,,,Pending,2024-11-19T16:02:31.000+0000,,,Account4,,001QJ00000Pl0siYAB,Consulting,false,,,,2024-11-19T16:02:31.000+0000,,,,,Dickenson plc,,,,,,,,/services/images/photo/001QJ00000Pl0siYAB,,,,,,,,,,,,,2024-11-19T16:02:31.000+0000,,,,,
,,,,,,,,,,,Pending,2024-11-19T16:02:31.000+0000,,,Account5,,001QJ00000Pl0sjYAB,Hospitality,false,,,,2024-11-19T16:02:31.000+0000,,,,,Grand Hotels & Resorts Ltd,,,,,,,,/services/images/photo/001QJ00000Pl0sjYAB,Warm,,,,,,,,,,,,2024-11-19T16:02:31.000+0000,,,,,
,,,,,,,,,,,Pending,2024-11-19T16:02:31.000+0000,,,Account6,,001QJ00000Pl0skYAB,Energy,false,,,,2024-11-19T16:02:31.000+0000,,,,,United Oil & Gas Corp.,,,,,,,,/services/images/photo/001QJ00000Pl0skYAB,Hot,,,,,,,,,,,,2024-11-19T16:02:31.000+0000,,,,,
,,,,,,,,,,,Pending,2024-11-19T16:02:31.000+0000,,,Account7,,001QJ00000Pl0slYAB,Transportation,false,,,,2024-11-19T16:02:31.000+0000,,,,,Express Logistics and Transport,,,,,,,,/services/images/photo/001QJ00000Pl0slYAB,Cold,,,,,,,,,,,,2024-11-19T16:02:31.000+0000,,,,,
,,,,,,,,,,,Pending,2024-11-19T16:02:31.000+0000,,,Account8,,001QJ00000Pl0smYAB,Education,false,,,,2024-11-19T16:02:31.000+0000,,,,,University of Arizona,,,,,,,,/services/images/photo/001QJ00000Pl0smYAB,Warm,,,,,,,,,,,,2024-11-19T16:02:31.000+0000,,,,,
,,,,,,,,,,,Pending,2024-11-19T16:02:31.000+0000,,,Account9,,001QJ00000Pl0snYAB,Energy,false,,,,2024-11-19T16:02:31.000+0000,,,,,"United Oil & Gas, UK",,,,,,,,/services/images/photo/001QJ00000Pl0snYAB,,,,,,,,,,,,,2024-11-19T16:02:31.000+0000,,,,,
,,,,,,,,,,,Pending,2024-11-19T16:02:31.000+0000,,,Account10,,001QJ00000Pl0soYAB,Energy,false,,,,2024-11-19T16:02:31.000+0000,,,,,"United Oil & Gas, Singapore",,,,,,,,/services/images/photo/001QJ00000Pl0soYAB,,,,,,,,,,,,,2024-11-19T16:02:31.000+0000,,,,,
,,,,,,,,,,,Pending,2024-11-19T16:02:31.000+0000,,,Account11,,001QJ00000Pl0spYAB,Biotechnology,false,,,,2024-11-19T16:02:31.000+0000,,,,,GenePoint,,,,,,,,/services/images/photo/001QJ00000Pl0spYAB,Cold,,,,,,,,,,,,2024-11-19T16:02:31.000+0000,,,,,
,,,,,,,,,,,Pending,2024-11-19T16:02:31.000+0000,,,Account12,,001QJ00000Pl0sqYAB,,false,,,,2024-11-19T16:02:31.000+0000,,,,,sForce,,,,,,,,/services/images/photo/001QJ00000Pl0sqYAB,,,,,,,,,,,,,2024-11-19T16:02:31.000+0000,,,,,
,,,,,,,,,,,Pending,2024-11-19T16:02:31.000+0000,,,Account13,,001QJ00000Pl0srYAB,,false,,,,2024-11-19T16:02:31.000+0000,,,,,Exemple de comptes pour les autorisations,,,,,,,,/services/images/photo/001QJ00000Pl0srYAB,,,,,,,,,,,,,2024-11-19T16:02:31.000+0000,,,,,
